Date,Open,High,Low,Close,Adj Close,Volume
2021-06-17,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.86695098876953,0
2021-06-18,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.86695098876953,0
2021-06-21,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.86695098876953,0
2021-06-22,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.86695098876953,0
2021-06-23,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.86695098876953,0
2021-06-24,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.86695098876953,0
2021-06-25,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.86695098876953,0
2021-06-28,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.89511108398438,0
2021-06-29,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.89511108398438,0
2021-06-30,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.89511108398438,0
2021-07-01,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.89511108398438,0
2021-07-02,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.89511108398438,0
2021-07-06,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.89511108398438,0
2021-07-07,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.89511108398438,0
2021-07-08,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.89511108398438,0
2021-07-09,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.89511108398438,0
2021-07-12,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.89511108398438,0
2021-07-13,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.89511108398438,0
2021-07-14,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.89511108398438,0
2021-07-15,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.89511108398438,0
2021-07-16,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,94.89511108398438,0
2021-07-19,99.66000366210938,99.66500091552734,99.58499908447266,99.65029907226562,95.41242980957031,20415
2021-07-20,99.7073974609375,99.7073974609375,99.7073974609375,99.7073974609375,95.46709442138672,37
