Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,1520.0,1523.699951171875,1505.8499755859375,1510.800048828125,1471.6832275390625,1831871
2021-06-16,1505.8499755859375,1516.0,1488.0,1490.9000244140625,1452.29833984375,1504791
2021-06-17,1481.0,1499.8499755859375,1480.25,1487.550048828125,1449.03515625,1675778
2021-06-18,1487.550048828125,1490.949951171875,1460.0999755859375,1476.0,1437.7840576171875,4649835
2021-06-21,1460.0,1469.4000244140625,1447.25,1467.050048828125,1429.06591796875,1970012
2021-06-22,1470.0999755859375,1504.800048828125,1469.550048828125,1499.199951171875,1460.3834228515625,3862264
2021-06-23,1505.0,1507.0,1476.0999755859375,1479.25,1440.949951171875,1818874
2021-06-24,1490.0,1513.199951171875,1482.0,1504.050048828125,1465.10791015625,2762042
2021-06-25,1510.5,1529.300048828125,1507.5,1523.8499755859375,1484.3951416015625,2099002
2021-06-28,1526.0,1527.949951171875,1510.3499755859375,1514.449951171875,1475.238525390625,1173658
2021-06-29,1513.0,1529.800048828125,1503.9000244140625,1510.9000244140625,1471.7806396484375,2174022
2021-06-30,1516.0,1523.4000244140625,1495.5,1500.550048828125,1461.6986083984375,2139362
2021-07-01,1497.0999755859375,1503.0,1480.1500244140625,1492.300048828125,1453.662109375,2060651
2021-07-02,1500.0,1500.6500244140625,1475.5,1485.6500244140625,1447.184326171875,1814564
2021-07-05,1490.0,1514.0,1488.0,1507.949951171875,1468.9068603515625,1605396
2021-07-06,1506.0,1519.0,1500.0,1505.5,1466.520263671875,1072506
2021-07-07,1495.0,1519.699951171875,1495.0,1516.449951171875,1477.186767578125,1096808
2021-07-08,1503.0,1524.0,1497.0,1500.699951171875,1461.8446044921875,1456033
2021-07-09,1497.9000244140625,1502.8499755859375,1485.5,1499.5999755859375,1460.7730712890625,1248405
2021-07-12,1504.4000244140625,1516.0,1491.5999755859375,1500.75,1461.893310546875,865284
2021-07-13,1515.0,1515.0,1501.3499755859375,1513.5999755859375,1474.41064453125,995833
2021-07-14,1513.550048828125,1549.9000244140625,1508.0,1544.699951171875,1504.7054443359375,4010254
2021-07-15,1550.0,1625.0,1549.949951171875,1609.3499755859375,1567.6815185546875,9066480
2021-07-16,1609.3499755859375,1622.800048828125,1595.0999755859375,1618.75,1576.838134765625,4157388
2021-07-19,1600.0,1639.4000244140625,1597.5999755859375,1609.5999755859375,1567.925048828125,3027093
2021-07-20,1609.8499755859375,1622.6500244140625,1582.0,1590.3499755859375,1549.1734619140625,1847026
2021-07-22,1610.0,1647.1500244140625,1591.550048828125,1642.1500244140625,1599.63232421875,3231269
2021-07-23,1644.0,1645.949951171875,1606.8499755859375,1611.75,1570.0194091796875,2259058
2021-07-26,1611.75,1627.300048828125,1592.800048828125,1597.5999755859375,1556.2357177734375,2219416
2021-07-27,1610.1500244140625,1619.0,1584.25,1608.25,1566.6099853515625,3984778
2021-07-28,1592.449951171875,1601.300048828125,1553.0,1594.199951171875,1570.501220703125,4119892
2021-07-29,1594.0,1607.3499755859375,1586.0,1596.0,1572.2744140625,1672177
2021-07-30,1598.0,1624.9000244140625,1585.0,1601.449951171875,1577.6434326171875,2536568
2021-08-02,1606.300048828125,1618.0,1602.050048828125,1613.949951171875,1589.95751953125,1083353
2021-08-03,1625.0,1638.699951171875,1610.300048828125,1634.3499755859375,1610.0543212890625,1777140
2021-08-04,1640.0,1644.300048828125,1613.5999755859375,1623.199951171875,1599.070068359375,2067087
2021-08-05,1620.0,1632.8499755859375,1608.800048828125,1627.4000244140625,1603.207763671875,1831728
2021-08-06,1627.0,1639.0,1608.300048828125,1610.3499755859375,1586.4111328125,1192143
2021-08-09,1620.0,1624.0,1590.0,1597.449951171875,1573.702880859375,1223794
2021-08-10,1606.0,1609.9000244140625,1572.0,1588.449951171875,1564.8365478515625,1429931
2021-08-11,1590.199951171875,1597.9000244140625,1562.75,1583.300048828125,1559.7633056640625,1370930
2021-08-12,1590.0,1627.0,1582.0,1623.449951171875,1599.3162841796875,1645811
2021-08-13,1626.0,1676.800048828125,1625.0,1668.4000244140625,1643.5982666015625,5439442
2021-08-16,1674.0,1677.050048828125,1653.3499755859375,1656.0999755859375,1631.4810791015625,1794407
2021-08-17,1658.0,1665.0,1625.050048828125,1638.75,1614.388916015625,1838525
2021-08-18,1647.0,1661.0999755859375,1627.0999755859375,1632.8499755859375,1608.57666015625,1570228
2021-08-20,1618.9000244140625,1623.0,1590.0,1593.5999755859375,1569.91015625,2416059
2021-08-23,1600.0999755859375,1619.0,1567.9000244140625,1580.75,1557.2510986328125,1973841
2021-08-24,1590.0,1613.3499755859375,1582.800048828125,1605.800048828125,1581.9288330078125,1580003
2021-08-25,1614.949951171875,1626.0,1590.0,1593.800048828125,1570.1072998046875,1795313
2021-08-26,1593.800048828125,1602.949951171875,1585.0,1595.75,1572.0281982421875,2051262
2021-08-27,1604.0,1666.699951171875,1598.050048828125,1638.0999755859375,1613.74853515625,4903187
2021-08-30,1646.699951171875,1684.949951171875,1645.0999755859375,1660.0999755859375,1635.421630859375,3345934
2021-08-31,1660.050048828125,1676.0,1645.0,1672.199951171875,1647.3416748046875,3264644
